strain,condition,tech rep,bio rep,value1,value2,avg
wt,shaking,1,1,18,17,17.5
wt,shaking,2,1,18,19,18.5
wt,static,1,1,11,8,9.5
wt,static,2,1,11,8,9.5
wt,shaking,1,2,20,21.5,20.75
wt,shaking,2,2,16,14,15
wt,static,1,2,11,12.5,11.75
wt,static,2,2,11,12,11.5
wt,shaking,1,3,17,16,16.5
wt,shaking,2,3,15,12,13.5
wt,static,1,3,10,10,10
wt,static,2,3,6,6,6
pqsl,shaking,1,2,12,13,12.5
pqsl,shaking,2,2,10,11,10.5
pqsl,static,1,2,6,6,6
pqsl,static,2,2,6,6,6
pqsl,shaking,1,3,6,6,6
pqsl,shaking,2,3,6,6,6
pqsl,static,1,3,6,6,6
pqsl,static,2,3,6,6,6
wt,shaking,1,4,17,17,17
wt,shaking,2,4,18,18,18
wt,static,1,4,11.5,11.5,11.5
wt,static,2,4,13,13,13
wt,shaking,1,5,12,12,12
wt,shaking,2,5,11,11,11
wt,static,1,5,6,6,6
wt,static,2,5,6,6,6
pqsl,shaking,1,4,13,13,13
pqsl,shaking,2,4,14,14,14
pqsl,static,1,4,10,10,10
pqsl,static,2,4,10,10,10
pqsl,shaking,1,5,13,13,13
pqsl,shaking,2,5,12,12,12
pqsl,static,1,5,10,10,10
pqsl,static,2,5,8.5,8.5,8.5